number_iter,hyper_parameters,test_accuracy
1,{'lr': 0.5499915388355213},0.3437666666666667
2,{'lr': 0.1883362893280718},0.8077333333333333
3,{'lr': 0.43991507305898786},0.33873333333333333
4,{'lr': 0.010208516590975417},0.5421
5,{'lr': 0.5910295260300799},0.3399666666666667
6,{'lr': 0.24213313185425658},0.8035333333333333
7,{'lr': 0.47518075197900306},0.10000000000000002
8,{'lr': 0.43762067427922885},0.3328333333333333
9,{'lr': 0.4861389460317268},0.12196666666666667
10,{'lr': 0.035517694675587304},0.7022333333333334
11,{'lr': 0.43384943687543126},0.3466
12,{'lr': 0.05519742857845178},0.726
13,{'lr': 0.5710920729684598},0.5766666666666667
14,{'lr': 0.5816696226614051},0.10000000000000002
15,{'lr': 0.4935521481794634},0.5864333333333334
16,{'lr': 0.24648273854829675},0.8184666666666667
17,{'lr': 0.6},0.10000000000000002
18,{'lr': 0.35423084332607},0.5615666666666667
19,{'lr': 0.518393953117516},0.34073333333333333
20,{'lr': 0.4919359306931603},0.5783333333333333
21,{'lr': 0.5261131103113563},0.10000000000000002
22,{'lr': 0.14679285932942915},0.7904666666666667
23,{'lr': 0.4892794004113328},0.10000000000000002
24,{'lr': 0.15540063106680474},0.7851333333333333
25,{'lr': 0.5869146770077139},0.3451
26,{'lr': 0.5551270011788432},0.10000000000000002
27,{'lr': 0.5186270647349533},0.3078666666666667
28,{'lr': 0.4394400198134425},0.10000000000000002
29,{'lr': 0.6},0.10000000000000002
30,{'lr': 0.5795798673624847},0.10000000000000002
31,{'lr': 0.540504665833762},0.10000000000000002
32,{'lr': 0.5172036995027395},0.3334
33,{'lr': 0.54009556717103},0.5599999999999999
34,{'lr': 0.23766757713006664},0.8058
35,{'lr': 0.5107652528573687},0.34240000000000004
36,{'lr': 0.237233246432293},0.8104999999999999
37,{'lr': 0.5761937968394615},0.10000000000000002
38,{'lr': 0.42842894131305387},0.3448
39,{'lr': 0.4993011938850375},0.10000000000000002
40,{'lr': 0.5798028946113722},0.10000000000000002
41,{'lr': 0.6},0.10000000000000002
42,{'lr': 0.45757267533696405},0.32893333333333336
43,{'lr': 0.5174450447292729},0.34263333333333335
44,{'lr': 0.5197130175679618},0.10000000000000002
45,{'lr': 0.5507103722076944},0.3416666666666666
46,{'lr': 0.3043090368505341},0.5730333333333334
47,{'lr': 0.5201021846244329},0.5621333333333333
48,{'lr': 0.29724383103365104},0.5797
49,{'lr': 0.5727071256334256},0.10000000000000002
50,{'lr': 0.3460752024002908},0.7889333333333334
51,{'lr': 0.48256258625879545},0.32846666666666663
52,{'lr': 0.2909516409899508},0.8268333333333334
53,{'lr': 0.6},0.10000000000000002
54,{'lr': 0.3782680005203756},0.5732333333333334
55,{'lr': 0.5071676661183956},0.33089999999999997
56,{'lr': 0.46576830354866255},0.5796333333333333
57,{'lr': 0.5607799437539107},0.3453
58,{'lr': 0.3188347475128677},0.8279333333333333
59,{'lr': 0.5355843301015353},0.10000000000000002
60,{'lr': 0.2364123003319179},0.7918
61,{'lr': 0.58428200377032},0.10000000000000002
62,{'lr': 0.29940808368305843},0.7858333333333333
63,{'lr': 0.555014637485828},0.10000000000000002
64,{'lr': 0.127269263937812},0.7887333333333334
65,{'lr': 0.6},0.10000000000000002
66,{'lr': 0.33332868479097555},0.5645666666666667
67,{'lr': 0.595151279280416},0.10000000000000002
68,{'lr': 0.5187845789319945},0.5690333333333334
69,{'lr': 0.581242866658021},0.3411
70,{'lr': 0.3270659835548568},0.5669666666666667
71,{'lr': 0.5492658381317506},0.10000000000000002
72,{'lr': 0.2019410996009358},0.8057333333333334
